Date,0,1,2,3
2016-07-14,305,7740,25691,15905
2016-12-02,306,11860,13796,504
2017-08-31,307,18261,2778,8522
2018-08-30,308,27416,29318,2684
2019-04-22,309,4222,10801,20600
2019-08-02,310,7745,20553,4666
2019-12-17,311,19853,16276,7928
2020-02-17,312,9344,17902,28109
2020-09-14,313,22903,19932,28362
2020-10-07,314,21751,7906,27957
2020-11-18,315,13817,29723,26761
2021-04-12,316,9948,18680,15141
2021-07-15,317,14289,27800,8225
2021-12-20,318,18043,14322,16454
2022-06-26,319,14870,28060,24799
2022-07-06,320,26852,27447,16161
2022-12-04,321,28827,17781,5242
2022-12-08,322,14669,21435,23223
2023-08-01,323,18551,18900,1588
1940-02-01,324,22676,17784,23687
1940-07-13,325,23367,29766,20103
1940-10-27,326,22767,4279,8442
1940-10-28,327,23057,5193,20909
1941-08-31,328,5548,29663,28547
1942-11-21,329,15764,10206,19541
1943-09-07,330,6656,16261,21180
1944-01-10,331,25844,10468,22414
1944-05-30,332,17876,14629,23503
1945-08-25,333,24203,1358,10275
1946-06-05,334,15770,24431,14744
1946-07-28,335,12499,26619,962
1947-06-21,336,17891,22221,15942
1949-05-20,337,12226,22319,16503
1949-08-23,338,4149,4015,24903
1950-06-27,339,11214,23747,24326
1950-11-14,340,9769,11114,14172
1952-05-15,341,22047,25238,6083
1952-06-05,342,5234,2950,29157
1952-08-07,343,19546,7152,18315
1952-09-24,344,12329,12985,13664
1953-03-17,345,14503,19892,28135
1954-05-20,346,9273,23341,16168
1954-07-10,347,2877,28733,13930
1955-05-26,348,28280,4120,41
1955-06-02,349,12640,27740,17768
1956-05-23,350,29207,21724,18165
1957-03-20,351,18983,13181,29134
1957-05-20,352,5812,26423,4179
1957-12-21,353,28274,15586,12921
1960-05-26,354,13384,28734,19078
1960-08-06,355,17281,22413,22883
1961-06-28,356,23093,20619,9134
1961-12-11,357,5740,25662,11985
1962-01-14,358,27666,8158,8420
1962-01-22,359,18090,4822,24619
1962-06-03,360,10586,15804,17803
1962-06-15,361,16642,15867,17422
1962-09-14,362,11676,12860,21801
1963-03-27,363,2966,28902,10900
1963-08-15,364,5199,18451,8496
1964-03-01,365,2855,19410,8405
1964-05-13,366,18684,749,2738
1964-05-18,367,29551,20831,29441
1964-08-25,368,98,24575,15333
1964-08-27,369,28085,7112,22095
1965-03-03,370,7488,6311,7958
1966-04-02,371,23213,23036,27732
