Date,0,1,2,3
1941-09-18,626,16118,28079,9300
1941-09-19,627,6014,21140,22967
1941-09-20,628,536,6015,24155
1941-09-21,629,8299,8664,23061
1941-09-22,630,14661,10491,19682
1941-09-23,631,24371,28388,14662
1941-09-24,632,17797,28177,5227
1941-09-25,633,16125,8150,24738
1941-09-26,634,4864,21970,18895
1941-09-27,635,29276,18896,28392
1941-09-28,636,11380,16858,23645
1941-09-29,637,1733,6846,9615
1941-09-30,638,24165,19782,8308
1941-10-01,639,14517,3926,19722
1941-10-02,640,3927,28185,29220
1941-10-03,641,10229,13942,13424
1941-10-04,642,5025,1738,6698
1941-10-05,643,21826,24748,9986
1941-10-06,644,3413,12119,20823
1941-10-07,645,13428,25633,17963
1941-10-08,646,13429,128,21829
1941-10-09,647,14982,14586,25909
1941-10-10,648,5243,17448,16140
1941-10-11,649,20889,19063,17449
1941-10-12,650,20007,24024,7590
1941-10-13,651,286,21834,10512
1941-10-14,652,287,27832,29201
1941-10-15,653,10149,10879,26372
1941-10-16,654,15201,14016,13225
1941-10-17,655,8386,2998,19585
1941-10-18,656,24914,8112,16513
1941-10-19,657,26741,26892,8113
1941-10-20,658,9271,21629,8693
1941-10-21,659,8541,8694,28051
1941-10-22,660,14903,507,2486
1941-10-23,661,508,2487,14904
1941-10-24,662,14905,2700,8697
1941-10-25,663,23976,22881,16155
1941-10-26,664,8699,17403,17313
1941-10-27,665,23827,20691,29306
1941-10-28,666,2643,393,8063
1941-10-29,667,22429,23160,2644
1941-10-30,668,10682,15856,23981
1941-10-31,669,22431,7760,23892
1941-11-01,670,10166,5204,9532
1941-11-02,671,11781,28216,10167
1941-11-03,672,24199,11782,6881
1941-11-04,673,22891,1403,20183
1941-11-05,674,16531,23987,18874
1941-11-06,675,18102,18089,29044
1941-11-07,676,5151,20293,13710
1941-11-08,677,25774,8445,16627
1941-11-09,678,20188,27593,9532
1941-11-10,679,20189,14861,21650
1941-11-11,680,18821,1862,777
1941-11-12,681,21750,7342,29776
1941-11-13,682,21004,1506,18082
1941-11-14,683,7702,3326,402
1941-11-15,684,4488,19828,26403
1941-11-16,685,5433,2146,10181
1941-11-17,686,12891,14075,12978
1941-11-18,687,1934,26557,15083
1941-11-19,688,839,9819,22693
1941-11-20,689,3976,20929,18372
1941-11-21,690,26871,6989,7720
1941-11-22,691,11801,14873,18740
1941-11-23,692,17645,24219,6536
1941-11-24,693,5531,11162,28677
1941-11-25,694,12899,20204,27949
1941-11-26,695,5808,2521,12535
1941-11-27,696,29702,8731,12536
1941-11-28,697,8732,12537,14728
1941-11-29,698,3336,8004,776
1941-11-30,699,15765,11898,26053
1941-12-01,700,26419,19265,6269
1941-12-02,701,25475,27302,27547
1941-12-03,702,17745,2984,6636
1941-12-04,703,17746,15495,22494
1941-12-05,704,6273,22861,25417
1941-12-06,705,15557,25328,8041
1941-12-07,706,17384,7354,17731
1941-12-08,707,10356,432,20613
1941-12-09,708,8743,7679,14040
1941-12-10,709,21619,12549,28254
1941-12-11,710,7681,2901,10814
1941-12-12,711,13678,22443,1107
1941-12-13,712,6646,28288,5491
1941-12-14,713,21684,6647,11092
1941-12-15,714,8109,26829,2905
1941-12-16,715,14746,6590,1476
1941-12-17,716,26435,7687,6591
1941-12-18,717,26801,13288,7688
1941-12-19,718,24245,21048,29390
1941-12-20,719,2910,4006,1846
1941-12-21,720,29027,445,15937
1941-12-22,721,6200,29028,25344
1941-12-23,722,22788,28298,22058
1941-12-24,723,21328,11102,11864
1941-12-25,724,11103,16247,12199
1941-12-26,725,21361,27571,16248
1941-12-27,726,4378,27572,9888
1941-12-28,727,4014,27573,10223
1941-12-29,728,4015,14819,1093
1941-12-30,729,1459,16951,1094
1941-12-31,730,19874,16952,8796
1942-01-01,731,16192,13667,26085
1942-01-02,732,16193,24259,14033
1942-01-03,733,26511,26087,7367
1942-01-04,734,12209,19513,28338
1942-01-05,735,11114,6944,24597
1942-01-06,736,17356,2562,15891
1942-01-07,737,27886,2622,26425
1942-01-08,738,25394,7360,14769
1942-01-09,739,10753,1104,12548
1942-01-10,740,5520,9899,17356
1942-01-11,741,9872,5521,14430
1942-01-12,742,9143,26430,13282
1942-01-13,743,7683,13314,12218
1942-01-14,744,26432,8473,348
1942-01-15,745,18763,2905,9876
1942-01-16,746,2906,20955,15507
1942-01-17,747,5189,10455,25005
1942-01-18,748,19131,22084,8418
1942-01-19,749,29814,21720,23150
1942-01-20,750,13321,12590,20684
1942-01-21,751,25374,2546,16973
1942-01-22,752,1176,2547,12957
1942-01-23,753,16268,22479,24307
1942-01-24,754,28268,2549,26532
1942-01-25,755,7664,15882,2550
1942-01-26,756,21727,20996,8030
1942-01-27,757,11136,13662,25380
